Ticker ,Date,# Orders,Order Qty,"Executed
Qty",Executed Value ,Average Order Qty,Spread Cost (Bps),"Open
 Price","Arrival
 Mid
 Price","Close
 Price","Fill 
Rate"
AGNC.OQ,20160530,25,213113,213113,4010326,8525,5.38,60.20,-5.44,-1.06,1.00
AGO.N,20160530,36,33784,33628,881216,938,5.66,148.41,-5.02,-8.79,1.00
AGRO.N,20160530,1,1621,1621,17975,1621,13.83,-9.80,12.75,-0.79,1.00
AGU.N,20160530,17,24885,22692,2014504,1464,6.11,173.95,-2.94,8.78,0.91
AHH.N,20160530,2,15764,9978,118652,7882,17.88,163.52,-11.49,9.53,0.63
AHP.N,20160530,39,49230,49230,561926,1262,33.05,-344.02,-10.8,6.18,1.00
AHS.N,20160530,1,1523,1523,53779,1523,13.92,324.99,7.5,6.08,1.00
AHT.N,20160530,38,10565,10565,56323,278,20.91,204.77,-5.41,-5.64,1.00
AI.N,20160530,32,10498,10194,128791,328,16.97,147.12,-10.96,-14.09,0.97
AIG.N,20160530,40,379032,378361,21275395,9476,1.89,69.49,-3.72,-4.48,1.00
AINV.OQ,20160530,2,6547,6547,36730,3274,18.79,-190.37,-8.9,-122.16,1.00
AIRM.OQ,20160530,9,3148,3148,111426,350,18.49,84.73,2.22,-21.49,1.00
AIV.N,20160530,12,3639,3639,154151,303,4.10,97.46,-0.89,-2.75,1.00
AIZ.N,20160530,1,319,319,27511,319,6.61,16.28,-10.41,-1.14,1.00
AJG.N,20160530,12,10606,10606,502315,884,3.91,80.57,-2.47,4.33,1.00
AJRD.N,20160530,5,11570,11570,207500,2314,27.59,59.53,-14.4,-41.21,1.00
AKAM.OQ,20160530,25,26312,26298,1341886,1052,4.38,-89.96,-4.53,9.03,1.00
AKRX.OQ,20160530,15,9452,9452,271808,630,10.52,181.80,3.53,15.65,1.00
AKS.N,20160530,2,7716,7716,31625,3858,28.25,84.05,-11.42,-5.71,1.00
AL.N,20160530,26,127209,101338,3015078,4893,6.82,107.74,-5.47,-12.43,0.80
ALB.N,20160530,37,110950,108490,8204968,2999,6.94,177.62,-14.18,12.13,0.98
ALDW.N,20160530,2,1264,1264,11753,632,50.42,-202.34,-13.38,161.73,1.00
ALE.N,20160530,5,1514,1514,85275,303,12.36,187.48,-14.78,-1.82,1.00
ALEX.N,20160530,1,244,244,9224,244,23.15,-44.25,-8.72,16.43,1.00
ALGN.OQ,20160530,15,17871,17871,1366852,1191,9.22,135.08,-2.16,-12.13,1.00
ALGT.OQ,20160530,14,4594,4594,656986,328,40.11,-229.08,-20.9,-19.41,1.00
ALJ.N,20160530,2,138,138,1310,69,12.96,209.36,25.82,-11.16,1.00
ALK.N,20160530,37,44010,44010,2932238,1189,5.51,89.23,-0.93,-6.65,1.00
ALKS.OQ,20160530,34,60980,60734,2392291,1794,13.03,326.32,-5.34,-26.08,1.00
ALL.N,20160530,14,4671,4671,311062,334,2.27,39.92,-1.82,4.22,1.00
ALLY.N,20160530,37,73094,71910,1239019,1976,6.14,-92.60,-3.39,7.76,0.98
ALNY.OQ,20160530,5,2044,2044,137598,409,25.84,-271.15,-1.43,-50.59,1.00
ALOG.OQ,20160530,3,252,252,20915,84,55.48,255.87,-13.82,29.71,1.00
ALR.N,20160530,18,1094,1094,44163,61,5.40,29.67,-1.64,-0.71,1.00
ALRM.OQ,20160530,2,834,834,18744,417,39.67,100.69,6.7,94.6,1.00
ALSN.N,20160530,1,347,347,9536,347,4.90,-99.23,-5.46,-10.93,1.00
ALXN.OQ,20160530,40,23748,23710,3408071,594,12.22,160.62,-3,-7.8,1.00
AMAT.OQ,20160530,16,336931,336931,7663282,21058,4.81,112.41,-4.34,-8.05,1.00
AMBA.OQ,20160530,14,17958,17958,713931,1283,12.49,114.98,-2.44,13.18,1.00
AMBC.OQ,20160530,39,8447,8447,133393,217,23.22,-159.51,-7.85,9.63,1.00
AMC.N,20160530,8,1997,1997,58261,250,32.33,-253.48,-0.08,-44.82,1.00
AMCX.OQ,20160530,4,2102,2102,135458,526,11.31,-50.37,-3.37,10.16,1.00
AME.N,20160530,17,29120,28884,1355315,1713,3.68,-76.63,0.79,-9.07,0.99
AMED.OQ,20160530,7,4731,4731,238100,676,22.03,213.63,-9.55,-6.55,1.00
AMG.N,20160530,7,1059,1059,182068,151,15.77,24.17,-0.83,-4.49,1.00
AMGN.OQ,20160530,40,121877,121817,18729383,3047,4.32,109.91,1.55,-5.56,1.00
AMH.N,20160530,1,533,533,8653,533,6.61,-21.41,6.35,-2.89,1.00
AMID.N,20160530,39,72247,63349,744202,1852,82.32,295.26,-38.97,9.92,0.88
AMLP.P,20160530,31,6434,6434,77604,208,8.34,47.34,-3.48,-10.3,1.00
AMP.N,20160530,5,1677,1677,165508,335,6.75,-12.51,-1.68,14.81,1.00
AMSC.OQ,20160530,4,5521,5521,58952,1380,57.12,-198.35,-13.1,-89.48,1.00
AMSG.OQ,20160530,20,8190,8190,624051,410,12.64,134.21,-6.14,6.28,1.00
AMT.N,20160530,18,23269,23269,2445644,1293,3.33,88.95,-3.84,13.05,1.00
AMTD.OQ,20160530,20,187483,187483,5916442,9374,3.69,199.98,-4.7,-12.07,1.00
AMTG.N,20160530,24,1222,1123,15076,51,10.07,71.55,-1.38,-7.85,0.92
AMWD.OQ,20160530,1,1138,1138,92645,1138,28.31,121.85,-27.56,-20.84,1.00
AMX.N,20160530,5,5062,5062,66007,1012,7.45,-120.87,-4.58,-1.8,1.00
AMZN.OQ,20160530,33,19070,18153,12652598,578,4.98,29.87,-3.87,5.84,0.95
AN.N,20160530,24,49666,49666,2400574,2069,6.22,-180.89,-3.19,-6.22,1.00
ANAC.OQ,20160530,14,1278,1278,96967,91,23.70,232.93,-11.17,-13.15,1.00
ANDE.OQ,20160530,19,12527,12527,423515,659,25.07,-52.73,-8.02,-21.85,1.00
ANET.N,20160530,12,7109,7109,496651,592,38.51,209.61,-3.41,10.02,1.00
ANF.N,20160530,26,89970,89208,2178676,3460,5.47,-51.71,-3.79,0.77,0.99
ANGI.OQ,20160530,24,1785,1785,15713,74,28.98,104.05,-5.64,5.24,1.00
ANSS.OQ,20160530,2,1631,1631,146474,816,12.84,-143.90,-14.32,-17.04,1.00
ANTM.N,20160530,41,18319,18303,2460626,447,30.98,103.62,0.07,-9.22,1.00
ANW.N,20160530,4,50812,50812,368774,12703,44.16,139.68,-31.37,-106.44,1.00
AON.N,20160530,4,456,456,49047,114,3.58,45.82,-0.87,-8.09,1.00
AOS.N,20160530,3,2056,2056,170375,685,8.95,-87.07,0.02,27.86,1.00
